CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GT63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0
GT64,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,5,0
GT65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT66,95,120,86,37,19,35,18,53,3,28,37,3,38,33,39,8,6,4,4,5,319,290,179,2,84,30,17,45,16,5,130,94,140,57,14,232,68
GT68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
GT7,35,47,20,7,13,28,0,1,1,0,0,0,0,0,0,0,1,0,2,0,3,3,22,0,0,1,0,3,2,0,3,1,17,28,0,180,9
GT70,0,4,5,0,2,1,1,0,0,0,1,0,2,2,1,3,1,4,0,1,5,5,11,0,2,4,1,0,3,0,5,2,13,4,0,3,0
GT71,7,6,4,1,2,4,0,1,0,1,0,1,0,0,0,1,1,2,2,1,1,3,2,0,0,1,3,1,9,0,13,4,14,12,0,12,0
GT72,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0
GT73,11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,3,0,0,1,3,0,8,1,3,1,6,5,0,3,0
GT74,14,12,12,1,4,3,0,11,2,2,2,3,6,3,3,1,0,3,0,0,5,7,14,1,3,3,12,21,9,0,168,33,178,151,0,98,11
GT75,12,14,16,5,3,4,5,7,1,2,2,0,3,2,3,3,3,2,2,1,26,25,20,3,5,6,7,16,10,2,54,24,79,51,0,57,11
GT76,6,16,10,0,2,4,3,0,1,1,6,1,4,7,3,4,8,7,13,15,36,33,21,0,1,2,2,10,7,0,14,10,51,17,0,22,7
GT77,9,16,10,4,5,9,0,0,0,0,0,0,0,0,0,1,2,2,1,0,3,2,3,3,0,0,0,0,8,2,5,3,5,4,0,22,0
GT78,2,7,9,3,5,5,1,0,1,0,4,1,1,3,2,0,1,0,0,0,13,16,2,1,0,0,3,0,5,1,2,0,4,2,1,0,0
GT8,52,53,32,11,10,25,2,2,2,2,1,6,2,1,2,11,3,13,5,82,11,11,41,3,19,8,4,2,24,12,39,10,47,46,3,79,5
GT81,198,258,197,68,86,98,69,193,78,128,75,114,77,65,58,50,88,77,91,66,394,406,270,19,72,129,178,156,363,76,180,135,411,214,28,621,267
GT83,320,426,417,58,78,109,189,200,23,88,148,51,143,137,163,197,215,156,294,150,1098,1005,997,22,125,174,228,165,612,70,624,343,1202,446,82,1036,234
GT84,106,110,48,21,36,55,22,26,14,29,30,27,22,28,28,39,57,43,27,97,21,14,19,8,9,16,22,19,140,40,16,11,40,13,5,57,37
GT85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
GT87,23,47,45,6,6,9,15,21,2,16,13,15,13,16,16,6,8,3,29,4,42,39,32,1,2,13,15,21,27,2,38,22,72,43,2,82,20
GT88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GT89,49,106,129,5,13,9,39,35,1,7,9,8,11,10,7,18,27,10,46,5,81,48,73,1,4,27,13,23,54,0,49,24,120,33,12,175,26
GT9,1520,1829,1498,463,409,562,664,695,276,388,276,438,281,247,286,347,457,366,524,178,1409,1256,1677,211,246,559,656,577,1122,241,1115,746,1989,1175,249,2234,645
GT90,13,9,9,3,5,7,1,0,1,2,0,1,0,0,0,5,0,4,0,2,0,0,10,3,1,2,1,0,3,1,29,21,37,31,0,90,5
GT92,4,4,2,0,0,3,1,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,2,0,0,5,3,1,0,0,28,7,38,16,0,8,0
GT93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
GT94,24,44,37,6,13,15,4,12,5,11,26,5,18,12,13,17,17,16,21,30,85,63,67,3,14,8,15,11,82,5,55,17,82,31,5,95,31
GT95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
GT96,5,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,2,0,1,5,0,1,0
GT97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PL1,14,27,24,4,6,3,1,10,1,2,1,3,1,2,0,3,4,13,11,17,2,5,2,1,0,8,7,12,16,1,12,11,30,22,1,35,16
PL10,3,3,0,0,0,0,0,8,0,6,2,3,0,1,0,2,3,1,3,0,6,2,2,3,0,0,5,7,5,0,6,9,18,10,2,18,3
PL10_1,13,15,8,1,5,4,2,22,8,10,2,17,2,1,2,16,3,11,12,6,3,6,7,1,0,5,16,33,35,1,20,13,70,32,1,54,22
PL10_2,5,1,1,0,0,2,0,3,1,6,1,2,1,1,1,6,6,1,3,5,6,3,4,1,0,1,3,13,19,2,35,59,110,60,0,60,17
PL10_3,33,45,41,8,10,22,13,30,7,18,11,15,6,6,5,13,11,20,16,11,15,14,19,8,0,6,22,22,52,2,28,20,77,33,5,61,16
PL11,4,2,3,1,0,1,1,33,2,15,3,2,2,1,1,8,6,3,10,3,18,8,10,0,1,0,11,21,33,2,46,15,76,37,0,69,17
PL11_1,1,3,2,1,0,1,0,5,2,4,0,0,0,0,0,1,5,0,3,2,2,2,2,0,0,0,3,19,9,3,18,5,28,11,0,24,5
PL11_2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,1,2,7,0,5,2
PL12,87,115,105,22,21,41,25,64,18,49,76,26,68,62,68,50,40,40,62,48,117,113,152,11,34,20,50,50,138,10,127,75,291,125,12,239,78
PL12_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL12_2,7,6,2,3,1,2,0,4,0,5,6,2,7,15,9,4,2,3,6,1,2,3,6,0,2,0,0,2,14,2,7,4,11,3,1,18,13
PL12_3,129,181,187,48,38,48,54,39,24,31,39,41,36,33,43,16,39,44,33,27,83,69,101,32,32,71,76,37,105,9,77,34,174,82,20,152,72
PL13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL14,21,34,37,12,8,16,13,43,10,29,16,13,9,3,8,23,31,43,18,21,9,8,16,1,2,13,20,33,58,4,53,10,68,32,3,75,22
PL14_3,16,22,18,4,4,4,3,9,4,6,0,3,2,2,1,35,15,33,15,13,5,4,12,5,0,7,8,4,32,9,29,4,27,14,0,28,6
PL15,17,29,23,3,1,2,5,78,19,55,32,30,16,26,20,13,25,10,59,2,64,41,34,2,3,4,37,63,69,2,41,35,107,48,1,129,50
PL15_1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,3,8,0,12,1,1,1,0,0,0,0,0,5,1,0,1,6,1,0,0,0
PL15_2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
PL17,8,18,4,1,3,2,2,17,6,14,14,8,7,11,9,19,22,27,19,22,19,13,28,0,0,0,5,6,71,9,13,16,33,21,0,41,10
PL17_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
PL17_2,4,2,1,0,0,2,0,0,0,0,1,0,0,0,0,18,12,21,2,15,1,2,2,0,0,0,0,0,40,4,2,0,2,1,0,0,1
PL18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL1_12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL1_2,139,184,187,28,26,70,19,191,63,105,43,95,32,13,31,71,42,93,63,41,36,31,66,28,24,66,123,182,333,28,214,65,387,223,9,381,160
PL1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PL1_5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PL1_6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
PL1_7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PL1_9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL2,0,0,2,0,0,0,0,30,0,12,2,3,1,3,1,1,1,1,0,0,1,2,1,0,0,0,5,22,7,0,28,7,44,27,0,71,18
PL20,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0
PL21,7,2,1,0,1,1,0,7,2,4,1,1,1,1,1,2,5,2,9,0,9,6,3,0,2,1,2,6,5,0,2,0,10,6,0,8,4
PL21_1,0,2,1,0,0,0,0,7,2,3,1,1,0,0,0,2,2,1,4,0,5,2,2,0,0,0,1,5,4,0,5,4,14,6,0,9,2
PL22,5,21,10,5,5,5,0,12,0,9,2,3,5,3,4,4,0,1,6,5,13,13,12,4,2,0,6,10,13,2,14,10,30,18,4,18,8
PL22_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL22_2,4,9,1,2,0,0,0,10,1,5,2,3,1,1,1,1,3,3,2,0,10,6,3,0,0,1,2,5,11,0,9,3,20,10,0,8,5
PL24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,4,1
PL25,9,8,4,0,2,5,0,9,2,2,2,4,1,1,0,7,2,4,2,0,13,10,3,0,1,0,3,8,12,9,18,2,22,16,0,29,5
PL26,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,0,0,0,0,0,1,0,2,1,10,2,0,4,2
PL27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0
PL29,21,23,15,3,5,6,0,9,5,4,0,4,0,0,2,33,17,43,17,6,12,7,18,1,1,1,4,6,46,10,29,7,20,26,1,27,10
